Image Path,Predicted Label
C:\Users\KIIT\Downloads\Project\conv\1-001.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-002.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-003.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-004.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-005.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-006.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-007.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-008.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-009.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-01.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-010.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-011.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-012.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-013.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-014.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-015.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-016.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-017.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-018.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-019.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-02.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-020.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-021.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-022.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-023.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-024.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-025.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-026.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-027.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-028.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-029.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-03.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-030.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-031.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-032.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-033.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-034.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-035.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-036.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-037.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-038.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-039.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-04.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-040.png,Non-cancerous
